54,nm0000064,2023-03-20,2023-03-20,,"Edward G. Robinson","Key Largo","12 de diciembre de 1893"
55,nm0000022,2023-03-20,2023-03-20,,"Clark Gable","It Happened One Night","1 de febrero de 1901"
56,nm0000537,2023-03-20,2023-03-20,,"Steve McQueen","The Great Escape","24 de marzo de 1930"
57,nm0000989,2023-03-20,2023-03-20,,"Yul Brynner","The King and I","11 de julio de 1920"
58,nm0000450,2023-03-20,2023-03-20,,"Philip Seymour Hoffman","The Master","23 de julio de 1967"
59,nm0000375,2023-03-20,2023-03-20,,"Robert Downey Jr.","Iron Man","4 de abril de 1965"
60,nm0000146,2023-03-20,2023-03-20,,"Ralph Fiennes","The Constant Gardener","22 de diciembre de 1962"
61,nm0413168,2023-03-20,2023-03-20,,"Hugh Jackman","Les Misérables","12 de octubre de 1968"
62,nm0001557,2023-03-20,2023-03-20,,"Viggo Mortensen","Captain Fantastic","20 de octubre de 1958"
63,nm0000129,2023-03-20,2023-03-20,,"Tom Cruise","Top Gun","3 de julio de 1962"
64,nm0000209,2023-03-20,2023-03-20,,"Tim Robbins","Mystic River","16 de octubre de 1958"
65,nm0000576,2023-03-20,2023-03-20,,"Sean Penn","Mystic River","17 de agosto de 1960"
66,nm0000191,2023-03-20,2023-03-20,,"Ewan McGregor","Moulin Rouge!","31 de marzo de 1971"
67,nm0000128,2023-03-20,2023-03-20,,"Russell Crowe","Les Misérables","7 de abril de 1964"
68,nm0000120,2023-03-20,2023-03-20,,"Jim Carrey","Ace Ventura: Pet Detective","17 de enero de 1962"
69,nm0000169,2023-03-20,2023-03-20,,"Tommy Lee Jones","The Homesman","15 de septiembre de 1946"
70,nm0002094,2023-03-20,2023-03-20,,"Vittorio Gassman","Sleepers","1 de septiembre de 1922"
71,nm0000582,2023-03-20,2023-03-20,,"Joe Pesci","GoodFellas","9 de febrero de 1943"
72,nm0000849,2023-03-20,2023-03-20,,"Javier Bardem","Skyfall","1 de marzo de 1969"
73,nm0000015,2023-03-20,2023-03-20,,"James Dean","East of Eden","8 de febrero de 1931"
74,nm0000018,2023-03-20,2023-03-20,,"Kirk Douglas","Ace in the Hole","9 de diciembre de 1916"
75,nm0001627,2023-03-20,2023-03-20,,"Sidney Poitier","In the Heat of the Night","20 de febrero de 1927"
76,nm0000125,2023-03-20,2023-03-20,,"Sean Connery","Dr. No","25 de agosto de 1930"
77,nm0000474,2023-03-20,2023-03-20,,"Michael Keaton","Birdman or (The Unexpected Virtue of Ignorance)","5 de septiembre de 1951"
78,nm0000460,2023-03-20,2023-03-20,,"Jeremy Irons","Dead Ringers","19 de septiembre de 1948"
79,nm0000026,2023-03-20,2023-03-20,,"Cary Grant","Arsenic and Old Lace","18 de enero de 1904"
80,nm0331516,2023-03-20,2023-03-20,,"Ryan Gosling","Blue Valentine","12 de noviembre de 1980"
81,nm0001023,2023-03-20,2023-03-20,,"John Cassavetes","Rosemary's Baby","9 de diciembre de 1929"
82,nm0000493,2023-03-20,2023-03-20,,"Jack Lemmon","The Apartment","8 de febrero de 1925"
83,nm0000226,2023-03-20,2023-03-20,,"Will Smith","The Fresh Prince of Bel-Air","25 de septiembre de 1968"
