1,tt0175880,2013-11-26,2013-11-26,,"Magnolia","Magnolia",https://www.imdb.com/title/tt0175880/,Película,8.0,188,1999,"Drama",336851,2000-03-17,"Paul Thomas Anderson"
2,tt0137523,2013-11-26,2013-11-26,,"El club de la pelea","Fight Club",https://www.imdb.com/title/tt0137523/,Película,8.8,139,1999,"Crimen, Drama, Suspenso",2447025,1999-11-05,"David Fincher"
3,tt0120601,2013-11-26,2013-11-26,,"¿Quieres ser John Malkovich?","Being John Malkovich",https://www.imdb.com/title/tt0120601/,Película,7.7,113,1999,"Comedia, Drama, Fantasía",361327,2000-03-10,"Spike Jonze"
4,tt0133093,2013-11-26,2013-11-26,,"Matrix","The Matrix",https://www.imdb.com/title/tt0133093/,Película,8.7,136,1999,"Acción, Ciencia ficción",2143225,1999-05-21,"Lana Wachowski, Lilly Wachowski"
5,tt0169547,2013-11-26,2013-11-26,,"Belleza americana","American Beauty",https://www.imdb.com/title/tt0169547/,Película,8.3,122,1999,"Drama",1244848,2000-02-25,"Sam Mendes"
6,tt0167404,2013-11-26,2013-11-26,,"El sexto sentido","The Sixth Sense",https://www.imdb.com/title/tt0167404/,Película,8.2,107,1999,"Drama, Misterio, Suspenso",1093645,1999-10-29,"M. Night Shyamalan"
7,tt0120689,2013-11-26,2013-11-26,,"Milagros inesperados","The Green Mile",https://www.imdb.com/title/tt0120689/,Película,8.6,189,1999,"Crimen, Drama, Fantasía, Misterio",1476443,1999-12-10,"Frank Darabont"
8,tt0120915,2013-11-26,2013-11-26,,"Star Wars. Episodio I: La amenaza fantasma","Star Wars: Episode I - The Phantom Menace",https://www.imdb.com/title/tt0120915/,Película,6.5,136,1999,"Acción, Aventura, Fantasía, Ciencia ficción",886518,1999-07-01,"George Lucas"
9,tt0120363,2013-11-26,2013-11-26,,"Toy Story 2","Toy Story 2",https://www.imdb.com/title/tt0120363/,Película,7.9,92,1999,"Animación, Aventura, Comedia, Familia, Fantasía",642121,1999-12-17,"John Lasseter, Ash Brannon, Lee Unkrich"
10,tt0134119,2013-11-26,2013-11-26,,"El impostor","The Talented Mr. Ripley",https://www.imdb.com/title/tt0134119/,Película,7.4,139,1999,"Crimen, Drama, Suspenso",260129,1999-12-25,"Anthony Minghella"
11,tt0139239,2013-11-26,2013-11-26,,"Viviendo sin límites","Go",https://www.imdb.com/title/tt0139239/,Película,7.2,102,1999,"Comedia, Crimen",77413,1999-07-23,"Doug Liman"
