1,tt17663992,2023-03-15,2023-03-15,,"Scream 6","Scream VI",https://www.imdb.com/title/tt17663992/,Película,6.4,122,2023,"Terror, Misterio, Suspenso",136279,2023-03-08,"Matt Bettinelli-Olpin, Tyler Gillett"
2,tt11145118,2023-03-15,2023-03-15,,"Creed III","Creed III",https://www.imdb.com/title/tt11145118/,Película,6.7,116,2023,"Acción, Drama, Deportes",99501,2023-03-02,"Michael B. Jordan"
3,tt10855768,2023-03-15,2023-03-15,,"Desconectada","Missing",https://www.imdb.com/title/tt10855768/,Película,7.1,111,2023,"Drama, Misterio, Suspenso",66924,2023-02-23,"Nicholas D. Johnson, Will Merrick"
4,tt10366206,2023-03-15,2023-03-15,,"John Wick 4","John Wick: Chapter 4",https://www.imdb.com/title/tt10366206/,Película,7.6,169,2023,"Acción, Crimen, Suspenso",372484,2023-03-23,"Chad Stahelski"
5,tt10365998,2023-03-15,2023-03-15,,"Muerte Infinita","Infinity Pool",https://www.imdb.com/title/tt10365998/,Película,6.0,117,2023,"Crimen, Terror, Misterio, Ciencia ficción, Suspenso",67280,2023-03-30,"Brandon Cronenberg"
6,tt5884796,2023-03-15,2023-03-15,,"Alerta extrema","Plane",https://www.imdb.com/title/tt5884796/,Película,6.5,107,2023,"Acción, Aventura, Suspenso",91120,2023-01-12,"Jean-François Richet"
7,tt15339570,2023-03-15,2023-03-15,,"Los Campeones","Champions",https://www.imdb.com/title/tt15339570/,Película,6.8,124,2023,"Comedia, Drama, Deportes",31951,2023-04-12,"Bobby Farrelly"
8,tt15679400,2023-03-15,2023-03-15,,"Llaman a la Puerta","Knock at the Cabin",https://www.imdb.com/title/tt15679400/,Película,6.1,100,2023,"Terror, Misterio, Suspenso",133045,2023-02-02,"M. Night Shyamalan"
9,tt8760708,2023-03-15,2023-03-15,,"M3GAN","M3GAN",https://www.imdb.com/title/tt8760708/,Película,6.3,102,2022,"Terror, Ciencia ficción, Suspenso",161515,2022-12-29,"Gerard Johnstone"
10,tt3155298,2023-03-18,2023-03-18,,"Luther: Cae la noche","Luther: The Fallen Sun",https://www.imdb.com/title/tt3155298/,Película,6.4,129,2023,"Acción, Crimen, Drama, Misterio, Suspenso",69045,2023-03-10,"Jamie Payne"
11,tt16428256,2023-03-18,2023-03-18,,"Suzume","Suzume no Tojimari",https://www.imdb.com/title/tt16428256/,Película,7.6,122,2022,"Animación, Acción, Aventura, Fantasía",52208,2023-04-12,"Makoto Shinkai"
12,tt10098448,2023-03-18,2023-03-18,,"La revolución de Jesús","Jesus Revolution",https://www.imdb.com/title/tt10098448/,Película,7.1,120,2023,"Biografía, Drama, Historia",15418,2023-07-27,"Jon Erwin, Brent Mccorkle"
13,tt14138650,2023-03-18,2023-03-18,,"Los crímenes de la academia","The Pale Blue Eye",https://www.imdb.com/title/tt14138650/,Película,6.6,128,2022,"Crimen, Terror, Misterio, Suspenso",132446,2023-01-06,"Scott Cooper"
