54,nm1289434,2023-03-21,2023-03-21,,"Emily Blunt","Edge of Tomorrow","23 de febrero de 1983"
55,nm0000404,2023-03-21,2023-03-21,,"Jane Fonda","Klute","21 de diciembre de 1937"
56,nm0000545,2023-03-21,2023-03-21,,"Helen Mirren","The Queen","26 de julio de 1945"
57,nm0915208,2023-03-21,2023-03-21,,"Naomi Watts","Mulholland Dr.","28 de septiembre de 1968"
58,nm0000149,2023-03-21,2023-03-21,,"Jodie Foster","The Silence of the Lambs","19 de noviembre de 1962"
59,nm0000204,2023-03-21,2023-03-21,,"Natalie Portman","Black Swan","9 de junio de 1981"
60,nm0004851,2023-03-21,2023-03-21,,"Penélope Cruz","Vicky Cristina Barcelona","28 de abril de 1974"
61,nm0000046,2023-03-21,2023-03-21,,"Vivien Leigh","A Streetcar Named Desire","5 de noviembre de 1913"
62,nm0000054,2023-03-21,2023-03-21,,"Marilyn Monroe","Some Like It Hot","1 de junio de 1926"
63,nm0000673,2023-03-21,2023-03-21,,"Marisa Tomei","My Cousin Vinny","4 de diciembre de 1964"
64,nm0001076,2023-03-21,2023-03-21,,"Joan Crawford","Mildred Pierce","23 de marzo de 1906"
65,nm0000473,2023-03-21,2023-03-21,,"Diane Keaton","Annie Hall","5 de enero de 1946"
66,nm0000023,2023-03-21,2023-03-21,,"Judy Garland","The Wizard of Oz","10 de junio de 1922"
67,nm0000651,2023-03-21,2023-03-21,,"Sissy Spacek","In the Bedroom","25 de diciembre de 1949"
68,nm0893941,2023-03-21,2023-03-21,,"Maribel Verdú","El laberinto del fauno","2 de octubre de 1970"
69,nm0940946,2023-03-21,2023-03-21,,"Joanne Woodward","Rachel, Rachel","27 de febrero de 1930"
70,nm0000021,2023-03-21,2023-03-21,,"Joan Fontaine","Rebecca","22 de octubre de 1917"
71,nm0000178,2023-03-21,2023-03-21,,"Diane Lane","Unfaithful","22 de enero de 1965"
72,nm0001687,2023-03-21,2023-03-21,,"Gena Rowlands","The Notebook","19 de junio de 1930"
73,nm0001749,2023-03-21,2023-03-21,,"Maggie Smith","Gosford Park","28 de diciembre de 1934"
74,nm0000300,2023-03-21,2023-03-21,,"Juliette Binoche","The English Patient","9 de marzo de 1964"
75,nm0001333,2023-03-21,2023-03-21,,"Susan Hayward","I Want to Live!","30 de junio de 1917"
76,nm0591485,2023-03-21,2023-03-21,,"Liza Minnelli","Cabaret","12 de marzo de 1946"
77,nm0842770,2023-03-21,2023-03-21,,"Tilda Swinton","We Need to Talk About Kevin","5 de noviembre de 1960"
78,nm0000700,2023-03-21,2023-03-21,,"Debra Winger","Terms of Endearment","16 de mayo de 1955"
79,nm0000843,2023-03-21,2023-03-21,,"Anne Bancroft","The Graduate","17 de septiembre de 1931"
80,nm0841797,2023-03-21,2023-03-21,,"Gloria Swanson","Sunset Boulevard","27 de marzo de 1899"
81,nm0413559,2023-03-21,2023-03-21,,"Glenda Jackson","Women in Love","9 de mayo de 1936"
82,nm0707023,2023-03-21,2023-03-21,,"Luise Rainer","The Great Ziegfeld","12 de enero de 1910"
83,nm0949835,2023-03-21,2023-03-21,,"Loretta Young","Midnight Mary","6 de enero de 1913"
84,nm0000039,2023-03-21,2023-03-21,,"Deborah Kerr","The King and I","30 de septiembre de 1921"
85,nm0428354,2023-03-21,2023-03-21,,"Jennifer Jones","Madame Bovary","2 de marzo de 1919"
86,nm0237597,2023-03-21,2023-03-21,,"Marie Dressler","Dinner at Eight","9 de noviembre de 1868"
87,nm0000443,2023-03-21,2023-03-21,,"Goldie Hawn","Private Benjamin","21 de noviembre de 1945"
88,nm0000081,2023-03-21,2023-03-21,,"Natalie Wood","Rebel Without a Cause","20 de julio de 1938"
89,nm0790454,2023-03-21,2023-03-21,,"Norma Shearer","The Divorcee","10 de agosto de 1902"
90,nm2225369,2023-03-21,2023-03-21,,"Jennifer Lawrence","The Hunger Games","15 de agosto de 1990"
91,nm0310980,2023-03-21,2023-03-21,,"Janet Gaynor","A Star Is Born","6 de octubre de 1906"
92,nm0681933,2023-03-21,2023-03-21,,"Mary Pickford","Coquette","8 de abril de 1892"
93,nm0001055,2023-03-21,2023-03-21,,"Claudette Colbert","It Happened One Night","13 de septiembre de 1903"
94,nm0001221,2023-03-21,2023-03-21,,"Louise Fletcher","One Flew Over the Cuckoo's Nest","22 de julio de 1934"
95,nm2244205,2023-03-22,2023-03-22,,"Léa Seydoux","La vie d'Adèle","1 de julio de 1985"
96,nm0004266,2023-03-22,2023-03-22,,"Anne Hathaway","Les Misérables","12 de noviembre de 1982"
97,nm0000906,2023-03-22,2023-03-22,,"Annette Bening","American Beauty","29 de mayo de 1958"
98,nm0001376,2023-03-22,2023-03-22,,"Isabelle Huppert","Elle","16 de marzo de 1953"
99,nm0000250,2023-03-22,2023-03-22,,"Renée Zellweger","Chicago","25 de abril de 1969"
100,nm0000702,2023-03-22,2023-03-22,,"Reese Witherspoon","Wild","22 de marzo de 1976"
