53,nm1775091,2023-04-27,2023-04-27,,"Danai Gurira","Black Panther","14 de febrero de 1978"
54,nm0705356,2023-04-27,2023-04-27,,"Daniel Radcliffe","Harry Potter and the Order of the Phoenix","23 de julio de 1989"
55,nm0914612,2023-04-27,2023-04-27,,"Emma Watson","The Perks of Being a Wallflower","15 de abril de 1990"
56,nm0342488,2023-04-27,2023-04-27,,"Rupert Grint","Harry Potter and the Sorcerer's Stone","24 de agosto de 1988"
57,nm0000146,2023-04-27,2023-04-27,,"Ralph Fiennes","The Constant Gardener","22 de diciembre de 1962"
58,nm1405398,2023-04-27,2023-04-27,,"Dan Stevens","Downton Abbey","10 de octubre de 1982"
59,nm1812656,2023-04-27,2023-04-27,,"Luke Evans","Dracula Untold","15 de abril de 1979"
60,nm1265802,2023-04-27,2023-04-27,,"Josh Gad","Frozen","23 de febrero de 1981"
61,nm0000234,2023-04-27,2023-04-27,,"Charlize Theron","Monster","7 de agosto de 1975"
62,nm2812026,2023-04-27,2023-04-27,,"Nathalie Emmanuel","Fast & Furious 7","2 de marzo de 1989"
63,nm0000569,2023-04-27,2023-04-27,,"Gwyneth Paltrow","Shakespeare in Love","27 de septiembre de 1972"
64,nm0117709,2023-04-27,2023-04-27,,"Daniel Brühl","Inglourious Basterds","16 de junio de 1978"
65,nm0597388,2023-04-27,2023-04-27,,"Jason Momoa","Aquaman","1 de agosto de 1979"
66,nm1720028,2023-04-27,2023-04-27,,"Amber Heard","Aquaman","22 de abril de 1986"
67,nm0933940,2023-04-27,2023-04-27,,"Patrick Wilson","The Phantom of the Opera","3 de julio de 1973"
68,nm0000173,2023-04-27,2023-04-27,,"Nicole Kidman","Moulin Rouge!","20 de junio de 1967"
69,nm5584344,2023-04-27,2023-04-27,,"Yahya Abdul-Mateen II","Aquaman","15 de julio de 1986"
70,nm0000704,2023-04-27,2023-04-27,,"Elijah Wood","The Lord of the Rings: The Fellowship of the Ring","28 de enero de 1981"
